YearsExperience,Salary
0.0,0.0190408693597921
0.021276595744680826,0.10009449562957712
0.04255319148936168,0.0
0.09574468085106383,0.06843845972123791
0.11702127659574471,0.025513819985825636
0.19148936170212763,0.2233758563666431
0.20212765957446807,0.2648121899362154
0.22340425531914895,0.1974249940940232
0.22340425531914895,0.31554453106543817
0.276595744680851,0.22983699503897942
0.2978723404255319,0.3010512638790456
0.3085106382978723,0.2133593196314671
0.3085106382978723,0.22709662178124262
0.31914893617021267,0.22856130403968816
0.36170212765957444,0.2761634774391684
0.4042553191489362,0.3568036853295535
0.42553191489361697,0.3342546657217103
0.44680851063829796,0.5357547838412473
0.5106382978723404,0.5153791637136782
0.5212765957446809,0.663938105362627
0.6063829787234043,0.6379281833215213
0.6382978723404255,0.7151193007323411
0.723404255319149,0.7508977084809827
0.7553191489361701,0.8986652492322231
0.8085106382978723,0.8469170800850461
0.8404255319148937,0.8014528703047485
0.8936170212765958,0.9359555870540988
0.9042553191489361,0.8847625797306875
0.9787234042553193,1.0
1.0000000000000002,0.9938695960311836
